CompId,cid
144,7210
144,23117
145,35077
145,18427
145,35722
145,24048
145,27228
145,32490
145,26376
145,31369
145,28500
145,23117
145,7209
145,34752
145,31690
146,28500
146,2410
146,4362
146,16365
146,16075
146,27997
147,3156
147,7968
147,7658
148,7275
149,2515
150,12801
150,33176
150,26376
150,35121
150,14941
151,31369
151,33558
151,7655
151,3005
151,21168
151,1154
151,1251
152,14686
152,5412
152,31441
152,3672
152,9808
153,27837
153,12347
153,8144
153,5646
154,1251
154,9263
154,16953
155,11288
155,30025
155,35683
155,32214
155,26202
155,13993
155,6891
155,15215
156,18593
156,7559
156,29605
156,22352
156,13226
157,7210
158,24325
158,23988
158,12320
158,17219
158,28968
159,26285
159,12793
159,32318
159,4403
159,31834
159,31252
159,26848
159,5810
159,29792
159,5871
159,25393
159,23988
159,21381
159,35582
159,31602
159,35217
159,21518
159,19851
159,3960
159,18858
160,15693
160,1288
160,1432
160,9723
160,23988
160,21533
160,17219
161,27641
161,31140
161,5501
161,35254
161,27897
161,6560
161,15038
161,34612
161,11043
161,18133
161,9491
161,33572
161,8013
161,7677
161,14045
161,15395
161,13764
161,13388
161,8431
161,24213
162,11446
163,27837
163,9263
163,8144
163,20687
164,29024
165,15441
165,19487
165,7935
165,27930
166,2662
166,6261
166,19911
166,1938
166,4631
167,21777
167,2410
168,23405
169,10093
169,1965
169,6888
169,23289
170,10075
170,18009
170,27556
170,4449
170,16180
171,5718
171,29769
171,20203
171,5755
172,14941
172,9263
173,6046
173,17028
173,30793
173,1983
173,1586
173,29349
173,26082
173,21478
174,3953
174,7601
174,459
174,20768
175,32308
175,22995
175,12786
175,17265
175,23344
175,12801
175,18952
176,3953
176,14941
176,12801
177,29627
178,19780
178,28834
178,7330
178,17928
178,20911
178,29315
179,6990
179,14564
179,5917
179,2410
179,26165
179,17640
179,35652
179,31235
179,11069
179,34772
179,31325
179,25069
179,15506
180,30189
180,2708
180,27837
181,416
182,6923
182,7074
182,14708
182,27839
182,31462
182,4911
182,26677
183,1154
183,4362
183,10817
183,6541
183,31071
183,26438
183,19659
183,22161
183,9049
183,17311
183,6704
183,6923
184,24910
184,20536
184,35216
185,21968
186,27837
187,21478
187,16075
187,23117
188,7210
188,21478
188,14941
188,30901
188,15229
188,1733
189,17645
189,15464
189,32528
189,34634
189,34102
189,21478
189,18666
189,29550
190,16778
190,33893
190,19793
190,18086
190,5519
191,35506
191,16408
191,25519
191,24699
191,20035
192,7123
192,29147
193,13639
193,30212
193,7620
193,28968
193,27690
193,12655
193,35926
193,26890
193,23602
193,7601
193,26376
193,30119
193,5662
193,14736
193,1005
193,1862
193,7330
193,12067
193,13093
193,8144
193,6908
194,30505
194,459
194,23117
195,14941
195,12801
196,21360
196,6923
196,14941
196,12801
197,30596
198,11831
198,22923
198,23025
198,17137
198,32708
198,29315
198,17928
198,28834
198,19780
198,18029
198,32354
198,8295
199,33444
200,12700
201,12801
201,33213
202,6812
202,33301
202,20803
202,23219
202,3953
203,29463
203,14849
203,24892
204,28963
204,17265
204,35582
204,8144
205,13086
205,29110
205,7210
205,1251
206,8144
206,14941
206,35926
207,23506
208,27839
208,15152
208,3389
208,2410
208,26202
208,7441
208,24527
208,5147
208,10683
208,1119
208,9171
208,7177
208,1454
209,20803
209,24207
209,35683
209,18215
209,28758
209,11288
209,28458
209,22014
209,33301
209,30726
209,31690
209,24310
209,16189
210,23117
210,17219
210,14849
210,7071
210,20590
210,21478
211,17265
212,15880
212,35910
212,10917
212,8595
212,6677
212,28026
212,27367
212,9263
212,15215
212,23405
212,21478
212,13786
213,23117
213,14941
214,27837
214,23117
214,35926
215,32991
215,3250
216,22014
216,30726
216,35926
216,31369
216,7330
217,26128
217,10358
217,30707
217,31112
217,24554
217,18947
217,4156
217,28175
218,23405
218,14941
218,12801
218,27017
218,28864
218,8569
218,7867
218,24625
218,9890
219,4225
219,18758
219,17231
219,17967
220,28500
220,16189
220,23972
220,35683
220,29608
220,11284
220,21412
220,15960
221,30224
221,33708
221,26890
221,292
221,17940
221,11686
221,18029
221,5917
221,8144
221,2410
221,3953
221,16189
221,6677
221,9263
221,34752
