CompId,供应商,注册资金,成立日期,所属地区,参保人数,企业类型,投资主体,上市与否
242,吉林大华机械制造有限公司,4724,20,220100,994,2,1,3
243,上海埃嘉电子技术有限公司,400,8,310000,32,2,3,3
244,南通友星机电工业有限公司,2615,29,320600,50,2,3,3
245,台州市大金锻件有限公司,108,16,331000,68,2,3,3
246,上海振豪汽车零部件有限公司,200,14,310000,0,2,3,3
247,深圳市柏斯曼电子科技股份有限公司,1000,8,440300,0,2,3,3
248,苏州沃格电子科技有限公司,100,8,320500,0,2,3,3
249,德芬根（鹤壁）汽车零部件有限公司,2353,9,410600,70,2,2,3
250,深圳市泉林电子有限公司,100,5,440300,0,2,3,3
251,苏州凯旋机电元件有限公司,9194,28,320500,115,2,2,3
252,丛林铝业科技（山东）有限责任公司,40000,2,370600,46,2,3,3
253,长疆连接器（东莞）有限公司,2000,2,441900,0,2,3,3
254,临沂宏森轨道交通材料有限公司,5000,11,371300,42,2,3,3
255,济南中镁传动技术有限公司,100,8,370100,4,2,3,3
256,常州民迪汽车配件有限公司,150,18,320400,80,2,3,3
257,广泰电机（吴江）有限公司,2867,21,320500,281,2,2,3
258,昆山市天成精密弹簧有限公司,300,20,320500,98,2,3,3
259,安费诺汽车连接系统（常州）有限公司,2044,5,320400,776,2,2,3
260,苏州微测电子有限公司,240,5,320500,12,2,3,3
261,宁波路润冷却器制造有限公司,2000,37,330200,297,2,3,3
262,湖北科利汽车零部件股份有限公司,1000,12,420800,25,1,3,2
263,昆山广辉精密弹簧有限公司,1000,13,320500,33,2,3,3
264,广德博朗科技有限公司,1000,3,341800,96,2,3,3
265,邢台增强密封件有限公司,1000,8,130500,0,2,3,3
266,吴江市金顺机械有限责任公司,450,20,320500,3,2,3,3
267,宁波市乐泰汽配有限公司,200,3,330200,2,2,3,3
268,成都万友滤机有限公司,2747,27,510100,217,2,3,3
269,昭芝汽车部件（吴江）有限公司,2245,13,320500,59,2,2,3
270,昆山昱弹金属制品有限公司,100,6,320500,0,2,3,3
271,青县华亿电子有限公司,500,18,130900,4,2,3,3
272,青岛信康发动机配件有限公司,2000,15,370200,0,2,3,3
273,东莞梓凌实业有限公司,500,5,441900,2,2,3,3
274,重庆红宇精密工业有限责任公司,40000,41,500000,1983,2,3,3
275,索恩格汽车部件（中国）有限公司,50000,6,430100,1097,2,2,3
276,三星（长春）动力电池有限公司,5000,7,220100,5,2,2,3
277,北京瑞启沃达科技有限公司,50,13,110000,3,2,3,3
278,金华市詹士汽车配件有限公司,622,19,330700,50,2,3,3
279,江苏弘鼎汽车零部件有限公司,2000,22,321000,94,2,3,3
280,湖南宇恒汽车零部件有限公司,1000,12,430300,110,2,3,3
281,上海凯密科实业有限公司,500,17,310000,100,2,3,3
282,山东万贯旋压技术有限公司,500,13,370900,0,2,3,3
283,福建威而特旋压科技有限公司,3000,15,350800,278,2,3,3
284,广州凯密科汽车零部件有限公司,200,9,440100,29,2,3,3
285,宁波长盈汽车零部件有限公司,1000,17,330200,35,2,3,3
286,深圳胜之联电子科技有限公司,200,4,440300,0,2,3,3
287,江苏延长桑莱特新能源有限公司,3469,11,320500,57,2,3,3
288,青岛可诚塑胶有限公司,500,16,370200,0,2,3,3
289,苏州擎动动力科技有限公司,440,6,320500,63,2,3,3
290,重庆宗申汽车进气系统制造有限公司,40288,20,500000,135,2,3,3
291,宁波泰顺密封科技有限公司,1000,23,330200,17,2,3,3
292,无锡市大金谊科技有限公司,7000,11,320200,136,2,3,3
293,深圳市科敏传感器有限公司,1516,15,440300,0,2,3,3
294,东莞大泉传感器有限公司,10782,18,441900,748,2,2,3
295,温州鼎程电子科技有限公司,200,12,330300,66,2,3,3
296,瑞安市夸克汽车电子有限公司,30,13,330300,1,2,3,3
297,瑞安市禾华汽车电子有限公司,500,12,330300,70,2,3,3
298,江苏阿现特传感器有限公司,893,8,320900,137,2,2,3
299,无锡康森斯克电子科技有限公司,1787,11,320200,28,2,2,3
300,上海奉城冲压件有限公司,258,24,310000,32,2,3,3
301,石家庄广信伟业化工有限公司,500,16,130100,10,2,3,3
302,江阴梁诚金属涂层有限公司,180,10,320200,0,2,3,3
303,常州华泽车辆零部件有限公司,1100,10,320400,28,2,3,3
304,南通海美电子有限公司,15730,4,320600,166,2,2,3
305,常州松林隔音科技有限公司,500,11,320400,14,2,3,3
306,深州市方向盘制造厂,118,28,131100,0,3,3,3
307,深圳市海量模具塑胶制品有限公司,1100,11,440300,95,2,3,3
308,苏州市嘉聪金属科技有限公司,200,8,320500,4,2,3,3
309,南京德尔福汽车部件有限公司,500,9,320100,8,2,3,3
310,道益精密科技（安徽）有限公司,28600,8,341100,2097,2,2,3
311,上海脉泽汽车零部件有限公司,200,8,310000,4,2,3,3
312,赛普拉斯半导体技术（上海）有限公司,143,20,310000,0,2,2,3
313,东莞市石碣志业电子有限公司,1000,19,441900,198,2,3,3
314,深圳市明懿达电子有限公司,500,20,440300,0,2,3,3
315,厦门海菱科技股份有限公司,1000,15,350200,91,1,3,2
316,山东东阿钢球集团有限公司,4778,22,371500,650,2,3,3
317,江阴兴澄特种钢铁有限公司,1236579,28,320200,7194,2,2,3
318,瑞安市共拓汽车零部件有限公司,280,17,330300,0,2,3,3
319,南京东威金属制品有限公司,3000,12,320100,9,2,3,3
320,无锡晓诚汽车配件有限公司,8600,15,320200,145,2,3,3
321,天津市明盛涂料有限公司,1000,16,120000,28,2,3,3
322,天津鹤立汽车零部件有限公司,1380,10,120000,101,2,3,3
323,重庆渝松汽车配件有限公司,50,19,500000,6,2,3,3
324,广州立功科技股份有限公司,32000,23,440100,260,1,3,2
325,深圳市飞荣达科技股份有限公司,50794,29,440300,0,1,3,1
326,东莞市久旺电子有限公司,600,15,441900,77,2,3,3
327,沧州恒德凯业弹簧制造有限公司,1000,9,130900,0,2,3,3
328,杭州富嘉汽车部件有限公司,12000,5,330100,113,2,3,3
329,昆山翱跃金属制品有限公司,50,2,320500,0,2,3,3
330,苏州环球科技股份有限公司,12000,13,320500,69,1,3,2
331,天津市联翔汽车部件制造有限公司,2500,10,120000,0,2,3,3
332,上海建立电镀有限公司,50,19,310000,95,2,3,3
333,浙江拓新工贸有限公司,3800,18,330700,286,2,3,3
334,深圳捷渡科技有限公司,1000,11,440300,0,2,3,3
335,福州福强精密有限公司,5000,17,350100,111,2,3,3
336,扬州兴达汽配有限公司,3680,21,321000,2,2,3,3
337,天津常春汽车技术有限公司,20000,5,120000,86,2,2,3
338,日照兴伟橡塑有限公司,100,5,371100,0,2,3,3
339,玉环县振奋汽车配件厂,235,31,331000,57,1,3,2
340,浙江玉发汽配有限公司,500,37,331000,5,2,3,3
341,天津市昂达金属表面处理有限公司,150,12,120000,0,2,3,3
342,芜湖众力底盘系统有限公司,2500,17,340200,148,2,2,3
343,杭州拓朗汽车部件有限公司,200,7,330100,1,2,3,3
344,台州广恒汽车零部件有限公司,520,12,331000,160,2,3,3
345,上海创单电子科技有限公司,100,7,310000,6,2,3,3
346,深圳市盈泰高精密五金橡胶有限公司,500,13,440300,0,2,3,3
347,昆山康龙电子科技有限公司,143000,20,320500,1133,2,2,3
348,深圳市永恒建欣精密模具有限公司,800,16,440300,0,2,3,3
349,苏州市品固橡塑科技有限公司,100,8,320500,48,2,3,3
350,常州市金坛博盟车辆配件有限公司,100,31,320400,1,2,3,3
351,一汽铸造有限公司成都有色铸造分公司,2000,11,510100,354,2,3,3
352,重庆红旗弹簧有限公司,360,18,500000,335,2,3,3
353,常州朗东汽车电器有限公司,50,8,320400,1,2,3,3
354,昆山永顺电子科技发展有限公司,100,17,320500,36,2,3,3
355,惠州奥华电子有限公司,3100,14,441300,95,2,3,3
356,常州柯特瓦电子有限公司,1132,9,320400,125,1,3,2
357,苏州市三千鑫电子科技有限公司,300,5,320500,11,2,3,3
358,苏州晶连电气有限公司,2000,11,320500,15,2,3,3
359,珠海正川英才科技有限公司,1000,3,440400,2,2,3,3
360,长春进发汽车零部件有限公司,200,17,220100,213,2,3,3
361,湖北寒桦科技有限责任公司,1000,22,420600,63,2,3,3
362,苏州晶孚汽车电气系统有限公司,2000,11,320500,23,2,3,3
363,戴得五金塑胶科技（东莞）有限公司,1000,5,441900,3,2,3,3
364,贵州贵航汽车零部件股份有限公司红阳密封件公司,100,22,520100,1077,1,1,1
365,杭州益威科技有限公司,500,4,330100,3,2,3,3
366,兰溪市同力铝业股份有限公司,950,21,330700,219,1,3,2
367,宁波赛科效实科技股份有限公司,2000,6,330200,62,3,3,3
368,苏州石川制铁有限公司,33450,28,320500,411,2,2,3
369,宁波蜗牛锻造有限公司,4160,17,330200,324,2,2,3
370,日照市德泰橡塑有限公司,700,14,371100,0,2,3,3
371,安徽凯瑞汽配制造有限公司,8800,12,340200,57,2,3,3
372,浙江省仙居县中兴橡胶密封件有限公司,80,26,331000,120,2,3,3
373,浙江三维大通精锻科技有限公司,5000,21,330400,230,1,3,2
374,瑞安市联兴汽车零部件有限公司,218,37,330300,5,2,3,3
375,江阴科利达电子有限公司,7060,23,320200,86,2,3,3
376,上海宏方电子科技有限公司,500,16,310000,31,2,3,3
